"","ciudad","TVIA","NVIA","Latitud","longitud","NOMBRE"
"1058","Madrid","TRVA ","CONDADO DE TREVIÑO                                ","42,7349","-2,74691","Castilla y León"
"1059","Madrid","CALLE","COVARRUBIAS                                       ","42,05919","-3,520237","Castilla y León"
"1060","Madrid","CALLE","HONTANAS                                          ","42,31303","-4,045938","Castilla y León"
"1061","Madrid","CLLON","MILAGROS                                          ","41,57555","-3,699167","Castilla y León"
"1062","Madrid","CALLE","NAVA DE ROA                                       ","41,61383","-3,965231","Castilla y León"
"1063","Madrid","CALLE","PRADOLUENGO                                       ","42,3237","-3,200787","Castilla y León"
"1064","Madrid","CALLE","QUINTANAPALLA                                     ","42,40835","-3,534245","Castilla y León"
"1065","Madrid","CALLE","QUINTANAVIDES                                     ","42,48142","-3,424978","Castilla y León"
"1066","Madrid","CALLE","REDECILLA DEL CAMINO                              ","42,43816","-3,065058","Castilla y León"
"1067","Madrid","CALLE","ROA                                               ","41,69711","-3,928005","Castilla y León"
"1068","Madrid","CALLE","SANTO DOMINGO DE SILOS                            ","41,96238","-3,419734","Castilla y León"
"1069","Madrid","CALLE","TORRELARA                                         ","42,16608","-3,516533","Castilla y León"
"1070","Madrid","CALLE","TORRESANDINO                                      ","41,82946","-3,910012","Castilla y León"
"1071","Madrid","CALLE","TRESPADERNE                                       ","42,8019","-3,391455","Castilla y León"
"1072","Madrid","CALLE","VALLE DE MENA                                     ","43,1","-3,283333","Castilla y León"
"1073","Madrid","CALLE","VALLE DE TOBALINA                                 ","42,792","-3,271","Castilla y León"
"1074","Madrid","CALLE","VILLADIEGO                                        ","42,51575","-4,010096","Castilla y León"
"1075","Madrid","CALLE","VILLAFRUELA                                       ","41,91651","-3,913288","Castilla y León"
"1076","Madrid","CALLE","VILLALMANZO                                       ","42,04841","-3,741645","Castilla y León"
"1077","Madrid","CALLE","ZAZUAR                                            ","41,69591","-3,555112","Castilla y León"
"1078","Madrid","CALLE","ACEBEDO                                           ","43,03909","-5,11683","Castilla y León"
"1079","Madrid","CALLE","BERCIANOS DEL REAL CAMINO                         ","42,3876","-5,144388","Castilla y León"
"1080","Madrid","CALLE","CACABELOS                                         ","42,59987","-6,72562","Castilla y León"
"1081","Madrid","CALLE","CONGOSTO                                          ","42,61791","-6,520012","Castilla y León"
"1082","Madrid","CALLE","FRESNO DE LA VEGA                                 ","42,34533","-5,53388","Castilla y León"
"1083","Madrid","CALLE","MURIAS DE PAREDES                                 ","42,84893","-6,191136","Castilla y León"
"1084","Madrid","CALLE","PONFERRADA                                        ","42,54633","-6,590833","Castilla y León"
"1085","Madrid","CALLE","RIAÑO                                             ","42,9748","-5,012101","Castilla y León"
"1086","Madrid","CALLE","SOBRADO                                           ","42,51915","-6,853734","Galicia"
"1087","Madrid","CALLE","SOBRADO                                           ","42,51915","-6,853734","Castilla y León"
